Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 76676,43869.0,19690.0,395.0,36.7,335.0,1967.0,,783.0,48,76676
ZCTA5 76678,,16669.0,353.0,55.2,-666666666.0,1967.0,,,48,76678
ZCTA5 76679,42974.0,23691.0,1487.0,40.6,338.0,1983.0,49106000.0,1158.0,48,76679
ZCTA5 76680,39125.0,19072.0,378.0,42.2,-666666666.0,1958.0,10547900.0,-666666666.0,48,76680
ZCTA5 76681,34844.0,20259.0,709.0,39.9,811.0,1992.0,,1569.0,48,76681
ZCTA5 76682,47625.0,20189.0,2620.0,41.1,540.0,1979.0,,953.0,48,76682
ZCTA5 76686,47083.0,27316.0,256.0,40.8,578.0,1974.0,,1025.0,48,76686
ZCTA5 76687,46731.0,21340.0,1836.0,45.5,331.0,1991.0,80676300.0,929.0,48,76687
ZCTA5 76689,52951.0,24673.0,3577.0,40.3,435.0,1982.0,,1111.0,48,76689
ZCTA5 76690,34773.0,17676.0,1001.0,34.0,460.0,1980.0,,782.0,48,76690
ZCTA5 76691,51339.0,24874.0,6487.0,41.8,456.0,1973.0,219441200.0,1158.0,48,76691
ZCTA5 76692,39789.0,21796.0,9664.0,49.2,462.0,1985.0,345271500.0,1147.0,48,76692
ZCTA5 76693,35139.0,19441.0,1444.0,41.5,419.0,1973.0,,1030.0,48,76693
ZCTA5 76701,23654.0,13238.0,2175.0,27.0,582.0,1969.0,,1097.0,48,76701
ZCTA5 76704,19354.0,12609.0,7896.0,33.3,518.0,1972.0,86087100.0,783.0,48,76704
ZCTA5 76705,38712.0,17839.0,29340.0,31.0,530.0,1975.0,647555400.0,1045.0,48,76705
ZCTA5 76706,25486.0,15331.0,35794.0,22.9,609.0,1980.0,603709800.0,1264.0,48,76706
ZCTA5 76707,31506.0,13302.0,16390.0,30.0,519.0,1953.0,208140000.0,902.0,48,76707
ZCTA5 76708,42430.0,21092.0,25969.0,32.7,611.0,1972.0,659873100.0,1190.0,48,76708
ZCTA5 76710,38343.0,26919.0,23294.0,36.7,599.0,1971.0,,1188.0,48,76710
ZCTA5 76711,33167.0,19915.0,8614.0,31.4,584.0,1964.0,,752.0,48,76711
ZCTA5 76712,66075.0,32426.0,25662.0,38.5,762.0,1988.0,,1545.0,48,76712
ZCTA5 76798,-666666666.0,1387.0,1565.0,19.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48,76798
ZCTA5 76801,39843.0,21744.0,24653.0,39.0,500.0,1972.0,655260600.0,1056.0,48,76801
ZCTA5 76802,49697.0,21600.0,5250.0,40.3,588.0,1977.0,,1157.0,48,76802
ZCTA5 76820,70714.0,33235.0,150.0,71.6,-666666666.0,1978.0,,-666666666.0,48,76820
ZCTA5 76821,36875.0,21560.0,4599.0,45.4,350.0,1955.0,,798.0,48,76821
ZCTA5 76823,41174.0,18786.0,3215.0,41.4,398.0,1975.0,99892800.0,912.0,48,76823
ZCTA5 76824,-666666666.0,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48,76824
ZCTA5 76825,39737.0,20476.0,7271.0,41.5,446.0,1964.0,,1063.0,48,76825
ZCTA5 76827,58750.0,23141.0,519.0,44.4,-666666666.0,1980.0,,1554.0,48,76827
ZCTA5 76828,,25742.0,237.0,41.2,-666666666.0,1945.0,,713.0,48,76828
ZCTA5 76831,-666666666.0,23565.0,81.0,48.1,-666666666.0,1992.0,,-666666666.0,48,76831
ZCTA5 76832,47708.0,22974.0,708.0,52.3,669.0,1978.0,,1269.0,48,76832
ZCTA5 76834,34157.0,19049.0,5697.0,46.1,337.0,1961.0,,893.0,48,76834
ZCTA5 76837,44519.0,12465.0,3202.0,38.1,371.0,1954.0,44614000.0,842.0,48,76837
ZCTA5 76841,-666666666.0,19095.0,22.0,76.5,-666666666.0,1983.0,,-666666666.0,48,76841
ZCTA5 76842,38854.0,45538.0,117.0,56.5,-666666666.0,1977.0,,,48,76842
ZCTA5 76844,45858.0,23295.0,3758.0,45.4,300.0,1972.0,,1168.0,48,76844
ZCTA5 76845,45250.0,30924.0,138.0,48.8,-666666666.0,1974.0,7670300.0,2143.0,48,76845
ZCTA5 76848,28750.0,16969.0,75.0,57.6,-666666666.0,1990.0,3520000.0,-666666666.0,48,76848
ZCTA5 76849,39432.0,23663.0,3994.0,51.2,458.0,1975.0,,894.0,48,76849
ZCTA5 76852,43500.0,32482.0,207.0,57.3,356.0,1959.0,,,48,76852
ZCTA5 76853,33160.0,16863.0,1685.0,39.7,289.0,1972.0,74562800.0,963.0,48,76853
ZCTA5 76854,38906.0,20445.0,201.0,51.6,-666666666.0,1959.0,84301000.0,-666666666.0,48,76854
ZCTA5 76856,36683.0,24560.0,3655.0,48.7,604.0,1966.0,,1235.0,48,76856
ZCTA5 76857,52500.0,28179.0,1934.0,52.8,,1987.0,,914.0,48,76857
ZCTA5 76858,36250.0,30441.0,222.0,48.1,-666666666.0,1948.0,,580.0,48,76858
ZCTA5 76859,34321.0,22082.0,1988.0,44.5,294.0,1960.0,123751700.0,769.0,48,76859
ZCTA5 76861,55733.0,23280.0,2317.0,38.0,432.0,1965.0,,996.0,48,76861
ZCTA5 76862,64545.0,28427.0,150.0,59.3,-666666666.0,1991.0,8622000.0,950.0,48,76862
ZCTA5 76864,38125.0,21178.0,707.0,45.9,367.0,1980.0,,1313.0,48,76864
ZCTA5 76865,,11971.0,92.0,48.6,-666666666.0,1948.0,11933000.0,-666666666.0,48,76865
ZCTA5 76866,48015.0,23986.0,649.0,52.5,-666666666.0,1985.0,,890.0,48,76866
ZCTA5 76869,67250.0,25627.0,133.0,36.0,-666666666.0,1939.0,,-666666666.0,48,76869
ZCTA5 76870,32031.0,18238.0,230.0,29.5,300.0,1971.0,7201000.0,580.0,48,76870
ZCTA5 76871,39601.0,22201.0,729.0,51.4,345.0,1972.0,24216000.0,1156.0,48,76871
ZCTA5 76872,54583.0,39834.0,596.0,62.0,,1975.0,,996.0,48,76872
ZCTA5 76873,,20397.0,30.0,68.5,-666666666.0,1979.0,,-666666666.0,48,76873
ZCTA5 76874,-666666666.0,32082.0,57.0,34.0,-666666666.0,1956.0,,-666666666.0,48,76874
ZCTA5 76875,41923.0,25612.0,728.0,48.0,99.0,1958.0,32082000.0,1175.0,48,76875
ZCTA5 76877,36719.0,18151.0,4343.0,38.6,401.0,1969.0,170072100.0,1079.0,48,76877
ZCTA5 76878,35845.0,21644.0,1719.0,44.3,310.0,1963.0,,790.0,48,76878
ZCTA5 76882,,17853.0,219.0,62.0,-666666666.0,1956.0,,-666666666.0,48,76882
ZCTA5 76884,,31379.0,187.0,48.1,-666666666.0,1939.0,,850.0,48,76884
ZCTA5 76885,-666666666.0,31777.0,157.0,38.9,-666666666.0,1948.0,,-666666666.0,48,76885
ZCTA5 76887,41146.0,25010.0,82.0,73.0,-666666666.0,1991.0,,,48,76887
ZCTA5 76888,25750.0,13891.0,113.0,61.3,-666666666.0,1990.0,5228000.0,-666666666.0,48,76888
ZCTA5 76890,53333.0,24612.0,971.0,43.4,615.0,1978.0,,969.0,48,76890
ZCTA5 76901,46201.0,25146.0,28009.0,36.7,625.0,1968.0,967362100.0,1020.0,48,76901
ZCTA5 76903,35371.0,20641.0,32357.0,35.6,521.0,1964.0,570939300.0,889.0,48,76903
ZCTA5 76904,56919.0,31225.0,34044.0,33.3,685.0,1981.0,1558169800.0,1390.0,48,76904
ZCTA5 76905,52459.0,22627.0,13795.0,31.8,696.0,1979.0,,1130.0,48,76905
ZCTA5 76908,-666666666.0,18385.0,2757.0,20.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48,76908
ZCTA5 76930,59306.0,28422.0,139.0,50.5,-666666666.0,1975.0,1775000.0,-666666666.0,48,76930
ZCTA5 76932,52372.0,26430.0,3733.0,35.3,469.0,1973.0,102917500.0,1307.0,48,76932
ZCTA5 76933,43750.0,23992.0,1379.0,44.6,362.0,1968.0,49620500.0,1204.0,48,76933
ZCTA5 76934,55000.0,21921.0,1202.0,35.7,475.0,1986.0,51466500.0,1228.0,48,76934
ZCTA5 76935,69464.0,29260.0,1480.0,44.7,,1995.0,98104000.0,1682.0,48,76935
ZCTA5 76936,55543.0,25199.0,3224.0,35.5,295.0,1970.0,,895.0,48,76936
ZCTA5 76939,-666666666.0,43738.0,56.0,32.8,-666666666.0,-666666666.0,,-666666666.0,48,76939
ZCTA5 76940,60985.0,27864.0,121.0,48.7,-666666666.0,1985.0,,-666666666.0,48,76940
ZCTA5 76941,52270.0,30261.0,1433.0,43.3,561.0,1971.0,,1355.0,48,76941
ZCTA5 76943,52764.0,25274.0,3565.0,41.2,437.0,1968.0,,953.0,48,76943
ZCTA5 76945,42656.0,24075.0,1581.0,50.4,290.0,1974.0,45228500.0,958.0,48,76945
ZCTA5 76949,-666666666.0,38182.0,22.0,69.8,-666666666.0,-666666666.0,,-666666666.0,48,76949
ZCTA5 76950,50926.0,25614.0,3989.0,35.4,418.0,1974.0,,1225.0,48,76950
ZCTA5 76951,53456.0,21386.0,1346.0,36.0,431.0,1972.0,,983.0,48,76951
ZCTA5 76953,100125.0,45644.0,36.0,57.5,-666666666.0,1973.0,,-666666666.0,48,76953
ZCTA5 76955,-666666666.0,67688.0,99.0,63.2,-666666666.0,-666666666.0,,-666666666.0,48,76955
ZCTA5 76957,-666666666.0,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48,76957
ZCTA5 76958,47639.0,29467.0,243.0,47.7,-666666666.0,1970.0,7301000.0,1078.0,48,76958
ZCTA5 77002,62089.0,37196.0,11922.0,33.8,1152.0,1967.0,,1738.0,48,77002
ZCTA5 77003,39039.0,28746.0,10438.0,32.7,648.0,1969.0,367817500.0,1829.0,48,77003
ZCTA5 77004,47523.0,30732.0,35739.0,28.1,709.0,1968.0,1035078700.0,1841.0,48,77004
ZCTA5 77005,166203.0,94080.0,27187.0,38.0,1532.0,1988.0,6357301000.0,4001.0,48,77005
ZCTA5 77006,71158.0,64474.0,21795.0,34.8,918.0,1971.0,,2628.0,48,77006
ZCTA5 77007,107580.0,76163.0,33029.0,33.5,1311.0,2001.0,3253725300.0,2405.0,48,77007
ZCTA5 77008,82058.0,57264.0,31868.0,35.5,961.0,1971.0,,2318.0,48,77008
ZCTA5 77009,43830.0,27669.0,39260.0,34.1,641.0,1946.0,1769347600.0,1633.0,48,77009
ZCTA5 77010,250001.0,181821.0,809.0,42.7,2884.0,2004.0,,-666666666.0,48,77010
ZCTA5 77011,26922.0,12052.0,19303.0,33.0,499.0,1953.0,,1022.0,48,77011
ZCTA5 77012,34891.0,14606.0,20494.0,32.3,534.0,1959.0,,1115.0,48,77012
ZCTA5 77013,38807.0,13570.0,21111.0,29.2,656.0,1976.0,189303000.0,1107.0,48,77013
ZCTA5 77014,41033.0,18335.0,33960.0,29.3,653.0,1990.0,,1423.0,48,77014
ZCTA5 77015,43058.0,17338.0,57141.0,28.9,637.0,1979.0,827104900.0,1192.0,48,77015
ZCTA5 77016,30746.0,15383.0,26587.0,40.8,559.0,1965.0,424425900.0,958.0,48,77016
ZCTA5 77017,39288.0,15969.0,33709.0,31.7,631.0,1963.0,488357800.0,1165.0,48,77017
ZCTA5 77018,69048.0,41962.0,27513.0,37.7,663.0,1960.0,2275366500.0,1995.0,48,77018
ZCTA5 77019,101297.0,89050.0,20644.0,38.8,1255.0,1994.0,,2581.0,48,77019
ZCTA5 77020,27052.0,14361.0,26005.0,32.4,509.0,1957.0,,996.0,48,77020
ZCTA5 77021,32800.0,20908.0,26209.0,33.8,675.0,1961.0,547140900.0,1176.0,48,77021
ZCTA5 77022,30852.0,14673.0,28430.0,34.3,545.0,1960.0,378687900.0,1045.0,48,77022
ZCTA5 77023,36065.0,17652.0,28316.0,33.4,582.0,1955.0,522168000.0,1239.0,48,77023
ZCTA5 77024,114223.0,85306.0,37042.0,44.1,1322.0,1974.0,,3836.0,48,77024
ZCTA5 77025,66559.0,52829.0,28305.0,35.2,959.0,1976.0,2197145600.0,2425.0,48,77025
ZCTA5 77026,22242.0,12222.0,22485.0,35.3,475.0,1958.0,324469000.0,1052.0,48,77026
ZCTA5 77027,89276.0,90319.0,15749.0,36.8,1252.0,1982.0,2270731700.0,3227.0,48,77027
ZCTA5 77028,29953.0,16057.0,14558.0,38.7,577.0,1961.0,270502600.0,949.0,48,77028
ZCTA5 77029,28797.0,13410.0,17835.0,34.6,538.0,1958.0,218414900.0,964.0,48,77029
ZCTA5 77030,71883.0,61458.0,10279.0,32.6,1220.0,1986.0,1068903500.0,2758.0,48,77030
ZCTA5 77031,39787.0,17462.0,18380.0,30.4,638.0,1975.0,303650000.0,1355.0,48,77031
ZCTA5 77032,23498.0,10612.0,13032.0,25.5,665.0,1985.0,,1136.0,48,77032
ZCTA5 77033,28845.0,13756.0,27478.0,35.7,620.0,1957.0,364241000.0,937.0,48,77033
ZCTA5 77034,43814.0,18046.0,39496.0,27.6,695.0,1976.0,729368200.0,1342.0,48,77034
ZCTA5 77035,38889.0,23155.0,36515.0,32.8,612.0,1972.0,,1488.0,48,77035
